“Date”,”ED1M”
1990-01,8.20
1990-02,8.19
1990-03,8.29
1990-04,8.32
1990-05,8.22
1990-06,8.19
1990-07,8.09
1990-08,7.99
1990-09,8.09
1990-10,8.02
1990-11,7.94
1990-12,8.32
1991-01,7.13
1991-02,6.50
1991-03,6.44
1991-04,6.03
1991-05,5.82
1991-06,5.96
1991-07,5.90
1991-08,5.63
1991-09,5.49
1991-10,5.21
1991-11,4.84
1991-12,4.83
1992-01,4.07
1992-02,4.04
1992-03,4.21
1992-04,3.98
1992-05,3.77
1992-06,3.81
1992-07,3.33
1992-08,3.29
1992-09,3.14
1992-10,3.10
1992-11,3.20
1992-12,3.56
1993-01,3.09
1993-02,3.03
1993-03,3.06
1993-04,3.04
1993-05,3.02
1993-06,3.09
1993-07,3.05
1993-08,3.06
1993-09,3.05
1993-10,3.06
1993-11,3.06
1993-12,3.22
1994-01,3.03
1994-02,3.27
1994-03,3.50
1994-04,3.71
1994-05,4.18
1994-06,4.27
1994-07,4.43
1994-08,4.57
1994-09,4.82
1994-10,4.96
1994-11,5.36
1994-12,5.99
1995-01,5.82
1995-02,5.99
1995-03,6.03
1995-04,6.02
1995-05,5.98
1995-06,5.95
1995-07,5.81
1995-08,5.78
1995-09,5.73
1995-10,5.74
1995-11,5.72
1995-12,5.74
1996-01,5.45
1996-02,5.20
1996-03,5.26
1996-04,5.32
1996-05,5.30
1996-06,5.33
1996-07,5.31
1996-08,5.28
1996-09,5.35
1996-10,5.26
1996-11,5.26
1996-12,5.48
1997-01,5.33
1997-02,5.27
1997-03,5.40
1997-04,5.56
1997-05,5.56
1997-06,5.56
1997-07,5.54
1997-08,5.50
1997-09,5.58
1997-10,5.52
1997-11,5.56
1997-12,5.82
1998-01,5.51
1998-02,5.51
1998-03,5.56
1998-04,5.54
1998-05,5.52
1998-06,5.53
1998-07,5.51
1998-08,5.51
1998-09,5.43
1998-10,5.21
1998-11,5.13
1998-12,5.42
1999-01,4.86
1999-02,4.81
1999-03,4.81
1999-04,4.80
1999-05,4.78
1999-06,4.93
1999-07,5.07
1999-08,5.20
1999-09,5.31
1999-10,5.32
1999-11,5.49
1999-12,6.30
2000-01,5.71
2000-02,5.80
2000-03,5.97
2000-04,6.07
2000-05,6.47
2000-06,6.58
2000-07,6.54
2000-08,6.53
2000-09,6.54
2000-10,6.53
2000-11,6.54
2000-12,6.58
2001-01,5.79
2001-02,5.44
2001-03,5.06
2001-04,4.76
2001-05,4.08
2001-06,3.83
2001-07,3.74
2001-08,3.55
2001-09,2.94
2001-10,2.41
2001-11,2.06
2001-12,1.88
2002-01,1.74
2002-02,1.78
2002-03,1.83
2002-04,1.79
2002-05,1.78
2002-06,1.78
2002-07,1.77
2002-08,1.74
2002-09,1.77
2002-10,1.75
2002-11,1.37
2002-12,1.35
2003-01,1.28
2003-02,1.26
2003-03,1.24
2003-04,1.26
2003-05,1.25
2003-06,1.08
2003-07,1.04
2003-08,1.05
2003-09,1.06
2003-10,1.05
2003-11,1.04
2003-12,1.08
2004-01,1.03
2004-02,1.02
2004-03,1.02
2004-04,1.02
2004-05,1.03
2004-06,1.18
2004-07,1.35
2004-08,1.52
2004-09,1.72
2004-10,1.84
2004-11,2.06
2004-12,2.32
2005-01,2.42
2005-02,2.55
2005-03,2.75
2005-04,2.92
2005-05,3.03
2005-06,3.19
2005-07,3.36
2005-08,3.54
2005-09,3.72
2005-10,3.95
2005-11,4.14
2005-12,4.34
2006-01,4.48
2006-02,4.58
2006-03,4.75
2006-04,4.91
2006-05,5.07
2006-06,5.24
2006-07,5.37
2006-08,5.33
2006-09,5.32
2006-10,5.32
2006-11,5.32
2006-12,5.35
2007-01,5.32
2007-02,5.32
2007-03,5.32
2007-04,5.31
2007-05,5.32
2007-06,5.32
2007-07,5.32
2007-08,5.53
2007-09,5.50
2007-10,5.01
2007-11,4.83
2007-12,5.23
2008-01,3.93
2008-02,3.17
2008-03,2.87
2008-04,2.97
2008-05,2.63
2008-06,2.66
2008-07,2.65
2008-08,2.61
2008-09,4.01
2008-10,4.93
2008-11,2.08
2008-12,1.75
2009-01,0.89
2009-02,0.77
2009-03,0.98
2009-04,0.94
2009-05,0.71
2009-06,0.65
2009-07,0.56
2009-08,0.46
2009-09,0.40
2009-10,0.35
2009-11,0.30
2009-12,0.32
2010-01,0.30
2010-02,0.28
2010-03,0.28
2010-04,0.30
2010-05,0.38
2010-06,0.44
2010-07,0.44
2010-08,0.37
2010-09,0.34
2010-10,0.34
2010-11,0.33
2010-12,0.32
2011-01,0.32
2011-02,0.32
2011-03,0.30
2011-04,0.26
2011-05,0.26
2011-06,0.24
2011-07,0.22
2011-08,0.25
2011-09,0.33
2011-10,0.35
2011-11,0.35
2011-12,0.35
2012-01,0.35
2012-02,0.34
2012-03,0.34
2012-04,0.33
2012-05,0.30
2012-06,0.30
2012-07,0.31
2012-08,0.31
2012-09,0.30
2012-10,0.28
2012-11,0.27
2012-12,0.27
2013-01,0.24
2013-02,0.24
2013-03,0.23
2013-04,0.23
2013-05,0.22
2013-06,0.22
2013-07,0.22
2013-08,0.22
2013-09,0.22
2013-10,0.22
2013-11,0.21
2013-12,0.20
2014-01,0.19
2014-02,0.19
2014-03,0.19
2014-04,0.19
2014-05,0.19
