"Date","ED1M","ED3M","ED6M","USSW1","USSW2","USSW3","USSW4","USSW5","USSW7","USSW10","USSW30"
"2000-07-03","6.56","6.72","6.94","7.10","7.16","7.17","7.17","7.17","7.20","7.24","7.24"
"2000-07-04","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"2000-07-05","6.56","6.69","6.84","7.03","7.06","7.07","7.07","7.08","7.11","7.14","7.16"
"2000-07-06","6.56","6.69","6.84","7.07","7.13","7.14","7.15","7.16","7.19","7.21","7.21"
"2000-07-07","6.53","6.66","6.81","7.01","7.04","7.06","7.06","7.07","7.10","7.14","7.14"
"2000-07-10","6.56","6.66","6.81","7.04","7.09","7.11","7.13","7.14","7.17","7.20","7.19"
"2000-07-11","6.56","6.66","6.84","7.04","7.10","7.11","7.13","7.14","7.18","7.22","7.20"
"2000-07-12","6.56","6.66","6.84","7.06","7.12","7.14","7.15","7.17","7.20","7.23","7.19"
"2000-07-13","6.53","6.66","6.84","7.04","7.09","7.10","7.12","7.13","7.16","7.19","7.13"
"2000-07-14","6.53","6.66","6.84","7.08","7.14","7.16","7.17","7.19","7.21","7.23","7.17"
"2000-07-17","6.53","6.66","6.84","7.12","7.21","7.23","7.25","7.28","7.31","7.35","7.28"
"2000-07-18","6.53","6.69","6.88","7.12","7.21","7.23","7.25","7.28","7.31","7.35","7.29"
"2000-07-19","6.53","6.69","6.88","7.13","7.22","7.25","7.27","7.29","7.32","7.36","7.30"
"2000-07-20","6.53","6.69","6.88","7.07","7.14","7.16","7.18","7.21","7.24","7.29","7.23"
"2000-07-21","6.53","6.66","6.84","7.03","7.09","7.11","7.12","7.14","7.18","7.21","7.16"
"2000-07-24","6.53","6.66","6.84","7.04","7.12","7.14","7.16","7.17","7.20","7.24","7.19"
"2000-07-25","6.53","6.66","6.84","7.03","7.10","7.11","7.13","7.15","7.18","7.23","7.17"
"2000-07-26","6.53","6.66","6.81","7.02","7.08","7.10","7.11","7.13","7.17","7.21","7.17"
"2000-07-27","6.53","6.66","6.81","7.01","7.07","7.09","7.10","7.11","7.15","7.20","7.15"
"2000-07-28","6.53","6.66","6.81","7.03","7.09","7.11","7.13","7.15","7.19","7.23","7.19"
"2000-07-31","6.53","6.66","6.81","7.06","7.12","7.14","7.16","7.18","7.22","7.26","7.21"
"2000-08-01","6.53","6.66","6.84","7.04","7.08","7.10","7.12","7.14","7.18","7.23","7.17"
"2000-08-02","6.53","6.66","6.84","7.02","7.06","7.08","7.10","7.12","7.16","7.20","7.18"
"2000-08-03","6.53","6.66","6.81","6.98","7.02","7.04","7.05","7.07","7.11","7.16","7.13"
"2000-08-04","6.53","6.63","6.78","6.94","6.97","6.98","7.00","7.02","7.06","7.11","7.09"
"2000-08-07","6.53","6.63","6.75","6.94","6.97","6.98","7.00","7.03","7.06","7.09","7.06"
"2000-08-08","6.53","6.59","6.75","6.94","6.97","6.99","7.01","7.03","7.06","7.09","7.07"
"2000-08-09","6.50","6.59","6.75","6.93","6.96","6.97","7.00","7.02","7.05","7.09","7.07"
"2000-08-10","6.53","6.59","6.75","6.90","6.92","6.94","6.96","6.98","7.01","7.06","7.05"
"2000-08-11","6.53","6.59","6.72","6.92","6.94","6.95","6.95","6.97","6.99","7.02","7.00"
"2000-08-14","6.53","6.59","6.75","6.96","7.00","7.02","7.04","7.05","7.07","7.09","7.05"
"2000-08-15","6.53","6.59","6.75","6.96","6.99","7.00","7.01","7.03","7.04","7.06","7.02"
"2000-08-16","6.53","6.59","6.75","6.96","7.01","7.02","7.03","7.04","7.06","7.08","7.04"
"2000-08-17","6.53","6.59","6.75","6.97","7.01","7.02","7.03","7.04","7.06","7.09","7.05"
"2000-08-18","6.53","6.60","6.75","6.96","7.01","7.02","7.03","7.04","7.07","7.08","7.06"
"2000-08-21","6.53","6.60","6.75","6.95","6.98","6.99","7.00","7.02","7.04","7.07","7.05"
"2000-08-22","6.53","6.60","6.73","6.95","6.98","6.99","7.01","7.03","7.05","7.08","7.06"
"2000-08-23","6.53","6.60","6.74","6.93","6.95","6.95","6.95","6.96","6.98","7.01","7.00"
"2000-08-24","6.52","6.60","6.72","6.91","6.93","6.93","6.94","6.94","6.96","6.99","6.98"
"2000-08-25","6.52","6.59","6.72","6.90","6.91","6.92","6.92","6.92","6.94","6.97","6.96"
"2000-08-28","6.52","6.59","6.72","6.92","6.94","6.94","6.94","6.94","6.96","6.99","6.99"
"2000-08-29","6.52","6.58","6.72","6.93","6.97","6.97","6.98","6.99","7.02","7.06","7.05"
"2000-08-30","6.53","6.60","6.74","6.94","6.99","7.00","7.01","7.03","7.06","7.09","7.08"
"2000-08-31","6.53","6.60","6.75","6.91","6.93","6.94","6.95","6.96","6.99","7.03","7.03"
"2000-09-01","6.54","6.60","6.69","6.84","6.85","6.85","6.86","6.87","6.91","6.96","6.97"
"2000-09-04","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
