Date,Balance
"8-1-2016	","75,496,642.28"
"9-1-2016	","75,022,384.46"
"10-1-2016	","74,528,357.88"
"11-1-2016	","74,014,833.00"
"12-1-2016	","73,482,093.18"
"1-1-2017	","72,930,434.40"
"2-1-2017	","72,360,165.05"
"3-1-2017	","71,771,605.57"
"4-1-2017	","71,165,088.21"
"5-1-2017	","70,540,956.72"
"6-1-2017	","69,899,565.98"
"7-1-2017	","69,241,281.72"
"8-1-2017	","68,566,480.15"
"9-1-2017	","67,875,547.59"
"10-1-2017	","67,168,880.11"
"11-1-2017	","66,446,883.16"
"12-1-2017	","65,730,155.28"
"1-1-2018	","65,018,659.73"
"2-1-2018	","64,312,360.04"
"3-1-2018	","63,611,219.97"
"4-1-2018	","62,915,203.56"
"5-1-2018	","62,224,275.05"
"6-1-2018	","61,538,398.95"
"7-1-2018	","60,857,540.03"
"8-1-2018	","60,181,663.27"
"9-1-2018	","59,510,733.89"
"10-1-2018	","58,844,717.39"
"11-1-2018	","58,183,579.45"
"12-1-2018	","57,527,286.02"
"1-1-2019	","56,875,803.28"
"2-1-2019	","56,229,097.63"
"3-1-2019	","55,587,135.71"
"4-1-2019	","54,949,884.38"
"5-1-2019	","54,317,310.73"
"6-1-2019	","53,689,382.09"
"7-1-2019	","53,066,065.98"
"8-1-2019	","52,447,330.18"
"9-1-2019	","51,833,142.66"
"10-1-2019	","51,223,471.64"
"11-1-2019	","50,618,285.52"
"12-1-2019	","50,017,552.95"
"1-1-2020	","49,421,242.78"
"2-1-2020	","48,829,324.08"
"3-1-2020	","48,241,766.12"
"4-1-2020	","47,658,538.39"
"5-1-2020	","47,079,610.58"
"6-1-2020	","46,504,952.61"
"7-1-2020	","45,934,534.58"
"8-1-2020	","45,368,326.80"
9/1/20,0
"10-1-2020	","44,248,424.31"
"11-1-2020	","43,694,671.23"
"12-1-2020	","43,145,011.69"
"1-1-2021	","42,599,417.01"
"2-1-2021	","42,057,858.71"
"3-1-2021	","41,520,308.49"
"4-1-2021	","40,986,738.27"
"5-1-2021	","40,457,120.14"
"6-1-2021	","39,931,426.39"
"7-1-2021	","39,409,629.49"
"8-1-2021	","38,891,702.12"
"9-1-2021	","38,377,617.14"
"10-1-2021	","37,867,347.57"
"11-1-2021	","37,360,866.66"
"12-1-2021	","36,858,147.81"
"1-1-2022	","36,359,164.61"
"2-1-2022	","35,863,890.83"
"3-1-2022	","35,372,300.44"
"4-1-2022	","34,884,367.56"
"5-1-2022	","34,400,066.51"
"6-1-2022	","33,919,371.76"
"7-1-2022	","33,442,257.99"
"8-1-2022	","32,968,700.02"
"9-1-2022	","32,498,672.86"
"10-1-2022	","32,032,151.71"
"11-1-2022	","31,569,111.89"
"12-1-2022	","31,109,528.94"
"1-1-2023	","30,653,378.55"
"2-1-2023	","30,200,636.56"
